iter	Passed	Remaining
0	139	138917
1	141	70551
2	143	47763
3	146	36367
4	148	29496
5	150	24940
6	153	21713
7	155	19343
8	158	17454
9	160	15913
10	164	14811
11	167	13766
12	169	12865
13	171	12068
14	173	11398
15	175	10794
16	177	10242
17	179	9798
18	181	9346
19	182	8949
20	184	8579
21	185	8256
22	187	7959
23	188	7679
24	190	7417
25	191	7173
26	192	6948
27	195	6790
28	197	6597
29	198	6410
30	199	6234
31	200	6072
32	201	5918
33	202	5765
34	203	5617
35	204	5480
36	205	5353
37	206	5229
38	207	5109
39	208	4995
40	209	4897
41	210	4801
42	211	4710
43	212	4619
44	213	4536
45	214	4456
46	216	4380
47	217	4305
48	218	4233
49	219	4163
50	220	4096
51	221	4029
52	222	3967
53	222	3906
54	224	3862
55	226	3810
56	227	3759
57	228	3707
58	229	3656
59	230	3611
60	231	3563
61	232	3516
62	233	3471
63	234	3427
64	235	3384
65	236	3343
66	237	3303
67	238	3267
68	240	3241
69	241	3210
70	242	3178
71	243	3144
72	244	3110
73	245	3078
74	246	3045
75	247	3013
76	248	2980
77	249	2950
78	250	2919
79	251	2888
80	251	2858
81	252	2829
82	253	2797
83	254	2770
84	255	2748
85	256	2724
86	257	2698
87	258	2674
88	259	2651
89	259	2627
90	260	2602
91	261	2579
92	262	2556
93	262	2533
94	263	2511
95	264	2490
96	265	2468
97	265	2446
98	266	2425
99	267	2405
100	267	2385
101	269	2372
102	270	2356
103	271	2341
104	272	2324
105	273	2307
106	274	2291
107	275	2274
108	276	2257
109	276	2241
110	277	2224
111	278	2209
112	279	2193
113	280	2178
114	281	2162
115	281	2147
116	282	2131
117	283	2117
118	284	2103
119	285	2091
120	286	2079
121	286	2065
122	287	2052
123	288	2040
124	289	2028
125	290	2016
126	291	2004
127	292	1992
128	293	1983
129	294	1972
130	295	1962
131	296	1951
132	297	1941
133	298	1931
134	299	1920
135	301	1913
136	302	1904
137	303	1893
138	304	1884
139	305	1875
140	306	1866
141	307	1855
142	308	1846
143	309	1839
144	310	1830
145	311	1822
146	312	1814
147	313	1804
148	314	1796
149	315	1788
150	316	1782
151	318	1774
152	318	1765
153	319	1757
154	321	1750
155	322	1742
